시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,계약년월,계약일,지분구분,건축년도
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,기타,25m이상,14.4, ,"32,000",null,201712,13, ,1983
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,14.29, ,"40,000",null,201712,15, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,15.47, ,"3,000",null,201712,19, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,31.32, ,"83,950",null,201712,23, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,23, ,"60,000",1,201712,24, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제1종근린생활,25m이상,14.87, ,"16,000",null,201712,27, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,241.51, ,"41,800",null,201801,4, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,56.16, ,"32,000",5,201801,4, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,182.01, ,"50,000",null,201801,5, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,8m미만,90.15, ,"39,000",null,201801,23, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제2종근린생활,25m미만,12.65, ,"7,000",null,201802,1, ,1991
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,21.06, ,"13,670",4,201802,5, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,50.4, ,"32,700",4,201802,5, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,100.8, ,"65,400",4,201802,5, ,1984
서울특별시 강남구 개포동,일반,1***,논현로20길,준주거,제2종근린생활,8m미만,884.45,265,"435,500",null,201802,13, ,1990
서울특별시 강남구 개포동,일반,1***,논현로16길,준주거,제2종근린생활,25m미만,748.61,254.8,"340,000",null,201802,14, ,1991
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,26.57, ,"66,000",1,201802,24, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,제2종근린생활,25m이상,19, ,"60,000",null,201802,25, ,1983
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제2종근린생활,25m이상,10.85, ,"60,000",null,201803,1, ,1982
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,71.82, ,"47,500",30,201803,2, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,88.51, ,"22,070",null,201803,3, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,69.57, ,"51,000",null,201803,3, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,41.59, ,"127,500",1,201803,3, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,제3종일반주거,제2종근린생활,25m이상,23.09, ,"94,000",1,201803,6, ,1995
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,97.9, ,"53,000",null,201803,7, ,1984
서울특별시 강남구 개포동,일반,1***,논현로16길,제2종일반주거,제2종근린생활,12m미만,544.4,228.3,"238,000",null,201803,9, ,1991
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,160.9, ,"77,500",null,201803,12, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,50.52, ,"146,000",null,201803,17, ,1984
서울특별시 강남구 개포동,일반,1***,논현로16길,제2종일반주거,제1종근린생활,8m미만,592.11,265.2,"250,000",null,201804,3, ,1993
서울특별시 강남구 개포동,일반,1***,개포로,제2종일반주거,업무,25m미만,1712.3,323.2,"612,500",null,201804,12, ,1998
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제1종근린생활,25m미만,25.05, ,"24,500",2,201804,16, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.44, ,"19,600",8,201804,16, ,1997
서울특별시 강남구 개포동,일반,1***,개포로22길,제2종일반주거,제2종근린생활,25m미만,640.85,273,"322,000",null,201804,25, ,1990
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,104.85, ,"57,500",null,201804,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,100.8, ,"63,240",5,201805,4, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,교육연구,25m미만,138.6, ,"83,700",null,201805,10, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,27.89, ,"95,000",null,201805,15, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,교육연구,25m미만,47.88, ,"33,300",null,201805,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,78.55, ,"44,900",null,201805,26, ,1984
서울특별시 강남구 개포동,일반,1***,논현로16길,제2종일반주거,제1종근린생활,25m미만,856.22,288,"390,000",null,201806,6, ,2002
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,25.94, ,"80,000",1,201806,15, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,91.85, ,"65,000",null,201806,19, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,31.91, ,"20,500",9,201806,22, ,1997
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제1종근린생활,25m이상,875.74, ,"1,173,925",null,201806,22, ,1982
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제1종근린생활,25m미만,25.05, ,"24,500",null,201806,26, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제1종근린생활,25m이상,7.43, ,"7,750",null,201806,28, ,1984
서울특별시 강남구 개포동,집합,1***,논현로2길,제2종일반주거,제2종근린생활,8m미만,44.21, ,"26,000",null,201807,30, ,2017
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,제1종근린생활,25m이상,13.85, ,"8,800",null,201808,13, ,1997
서울특별시 강남구 개포동,일반,1***,논현로8길,제2종일반주거,제2종근린생활,8m미만,428.94,183,"195,000",null,201808,14, ,1993
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,69.57, ,"53,000",3,201808,20, ,1984
서울특별시 강남구 개포동,일반,1***,양재대로,제3종일반주거,제1종근린생활,25m이상,1092.54,353.4,"445,000",null,201808,23, ,1993
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제1종근린생활,25m미만,590.01, ,"320,300",4,201808,23, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제1종근린생활,25m미만,91.11, ,"51,200",5,201808,23, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제1종근린생활,25m미만,35.12, ,"18,500",5,201808,23, ,1998
서울특별시 강남구 개포동,일반,1***,논현로20길,준주거,제2종근린생활,8m미만,770.62,264.8,"400,000",null,201808,24, ,1992
서울특별시 강남구 개포동,일반,1***,개포로22길,제2종일반주거,제2종근린생활,25m미만,792.35,272.8,"375,000",null,201808,25, ,1990
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,판매,25m이상,13.1, ,"2,200",null,201809,4, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,14.14, ,"12,300",null,201809,5, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,제3종일반주거,제2종근린생활,25m이상,847.74, ,"390,000",5,201809,19, ,1995
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제2종근린생활,25m이상,10.61, ,"1,500",null,201809,21, ,1984
서울특별시 강남구 개포동,일반,1***,개포로,제3종일반주거,제1종근린생활,25m미만,1156.8,313.3,"520,000",null,201810,5, ,1992
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.44, ,"19,000",5,201810,23, ,1997
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,제1종근린생활,25m이상,11.34, ,"17,450",1,201810,27, ,1983
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,제1종근린생활,25m이상,65.2, ,"19,000",null,201810,30, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,25.94, ,"85,000",null,201811,5, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,제2종일반주거,제1종근린생활,25m미만,18.24, ,"50,000",1,201811,12, ,1987
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.86, ,"22,800",15,201811,30, ,1997
서울특별시 강남구 논현동,집합,2*,강남대로146길,제3종일반주거,제1종근린생활,12m미만,22.61, ,"35,000",null,201712,5, ,1997
서울특별시 강남구 논현동,일반,5*,학동로1길,제3종일반주거,제1종근린생활,8m미만,248.42,85.75,"93,500",null,201712,7, ,2002
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,업무,25m이상,30.03, ,"21,000",9,201712,12, ,2003
