시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,계약년월,계약일,지분구분,건축년도
서울특별시 강남구 개포동,일반,1***,개포로24길,제2종일반주거,제2종근린생활,12m미만,580.95,240.7,"171,000",null,201412,27, ,1988
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,13.66, ,"6,800",null,201501,6, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,16.99, ,"7,000",null,201501,9, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,제3종일반주거,제2종근린생활,25m이상,12.33, ,"19,000",1,201501,15, ,1995
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제2종근린생활,25m이상,35.58, ,"62,500",1,201501,17, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,제3종일반주거,제2종근린생활,25m이상,12.32, ,"10,500",1,201501,21, ,1995
서울특별시 강남구 개포동,일반,1***,개포로,준주거,제2종근린생활,25m미만,1678.23,360.3,"590,000",null,201501,23, ,2004
서울특별시 강남구 개포동,일반,1***,개포로,제2종일반주거,업무,25m미만,1170.4,314,"345,000",null,201502,2, ,1991
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제1종근린생활,25m이상,45.3, ,"50,000",null,201502,4, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,124.12, ,"62,800",2,201502,6, ,1984
서울특별시 강남구 개포동,집합,1***,논현로10길,제2종일반주거,제2종근린생활,25m미만,148.32, ,"42,700",-1,201502,25, ,1997
서울특별시 강남구 개포동,집합,1***,논현로10길,제2종일반주거,제2종근린생활,25m미만,96.95, ,"27,100",null,201502,25, ,1997
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,27.17, ,"69,000",1,201503,5, ,1984
서울특별시 강남구 개포동,일반,1***,논현로,준주거,제2종근린생활,25m이상,1441.64,363.7,"480,000",null,201503,6, ,1993
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,140.4, ,"72,000",null,201503,19, ,1984
서울특별시 강남구 개포동,일반,1**,삼성로,제2종일반주거,기타,25m이상,574.86,336.9,"558,663",null,201503,25, ,1983
서울특별시 강남구 개포동,일반,1***,논현로16길,제2종일반주거,제1종근린생활,25m미만,807.44,405.3,"293,000",null,201503,27, ,1986
서울특별시 강남구 개포동,집합,1**,개포로88길,일반상업,제1종근린생활,25m미만,135.49, ,"19,000",-1,201504,6, ,1983
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,제1종근린생활,25m이상,10.11, ,"8,200",1,201504,13, ,1983
서울특별시 강남구 개포동,일반,1***,논현로16길,제2종일반주거,제2종근린생활,25m미만,315.46,88.4,"62,000",null,201504,13, ,1992
서울특별시 강남구 개포동,집합,1**,-,제2종일반주거,제1종근린생활,25m이상,10.75, ,"85,000",null,201504,20, ,1982
서울특별시 강남구 개포동,집합,1**,개포로,제2종일반주거,제2종근린생활,25m미만,26.79, ,"18,000",2,201504,28, ,1987
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제2종근린생활,25m이상,102.51, ,"172,000",1,201505,5, ,1982
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,44.2, ,"13,000",null,201505,7, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,10.63, ,"5,000",null,201505,7, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로,제2종일반주거,제2종근린생활,25m이상,16.2, ,"79,500",null,201505,22, ,1982
서울특별시 강남구 개포동,일반,1***,논현로12길,제2종일반주거,제2종근린생활,12m미만,995.79,330,"348,000",null,201505,23, ,2005
서울특별시 강남구 개포동,일반,1***,논현로12길,제2종일반주거,제1종근린생활,8m미만,633.49,247.9,"218,000",null,201505,28, ,1990
서울특별시 강남구 개포동,집합,1***,개포로22길,제2종일반주거,업무,25m미만,71.61, ,"31,500",1,201506,3, ,2003
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,45.15, ,"24,000",null,201506,13, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,54.6, ,"29,000",null,201506,13, ,1984
