시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,계약년월,계약일,지분구분,건축년도
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,판매,25m이상,16.56, ,"22,000",2,201812,3, ,1983
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,31.91, ,"20,500",14,201812,3, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제1종근린생활,25m이상,16.56, ,"48,000",1,201812,6, ,1983
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제1종근린생활,25m이상,16.56, ,"48,000",null,201812,6, ,1983
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,제2종근린생활,25m이상,14.4, ,"21,000",null,201812,11, ,1983
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,31.91, ,"21,900",15,201812,11, ,1997
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제1종근린생활,25m이상,366, ,"821,700",1,201812,21, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,판매,25m이상,36.6, ,"82,170",1,201812,21, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,73.98, ,"50,000",5,201812,24, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,제1종근린생활,25m이상,10.63, ,"7,800",null,201812,27, ,1997
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,제1종근린생활,25m이상,32.6, ,"9,500",null,201901,7, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제1종근린생활,25m이상,16.56, ,"51,000",null,201901,21, ,1983
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제2종근린생활,25m이상,10.61, ,"1,600",null,201901,22, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,제1종근린생활,25m이상,44.2, ,"17,500",null,201901,23, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,37.72, ,"32,148",4,201901,25, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,36.49, ,"31,668",4,201901,25, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,판매,25m이상,16.56, ,"80,000",null,201902,1, ,1983
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,판매,25m이상,16.63, ,"10,500",2,201902,1, ,1983
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제2종근린생활,25m이상,16.56, ,"80,000",null,201902,12, ,1983
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,295.83, ,"112,213",null,201902,13, ,2018
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,71.22, ,"27,444",5,201902,23, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,121.75, ,"46,927",5,201902,23, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,109.72, ,"42,296",5,201902,23, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,104.66, ,"40,333",5,201902,23, ,1984
서울특별시 강남구 개포동,집합,1***,논현로12길,제2종일반주거,제2종근린생활,8m미만,50.16, ,"37,000",null,201902,26, ,1989
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,17.63, ,"17,962",4,201902,27, ,1997
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,32.51, ,"70,000",1,201903,11, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,22.44, ,"62,000",null,201903,11, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,31.91, ,"19,500",5,201903,13, ,1997
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제2종근린생활,25m미만,15.6, ,"9,000",null,201903,14, ,1998
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,857.05, ,"420,000",null,201903,18, ,1984
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제1종근린생활,25m미만,15.6, ,"5,250",null,201903,20, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제1종근린생활,25m미만,15.6, ,"5,250",null,201903,20, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,판매,25m미만,15.6, ,"9,000",null,201903,23, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,판매,25m미만,15.6, ,"9,000",1,201903,23, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,판매,25m미만,17.68, ,"6,400",3,201903,23, ,1998
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제2종근린생활,25m미만,88.4, ,"33,600",3,201903,23, ,1998
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,판매,25m이상,8.28, ,"10,500",null,201904,3, ,1983
서울특별시 강남구 개포동,집합,6**,-,제2종일반주거,제1종근린생활,25m이상,44.26, ,"120,000",2,201904,18, ,1982
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,판매,25m미만,23.4, ,"12,800",1,201904,24, ,1998
서울특별시 강남구 개포동,집합,6**,-,제2종일반주거,제1종근린생활,25m이상,8.13, ,"57,500",1,201904,24, ,1982
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,7.74, ,"1,500",null,201905,8, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제1종근린생활,25m이상,16.56, ,"80,000",null,201905,16, ,1983
서울특별시 강남구 개포동,집합,1**,개포로,제2종일반주거,제1종근린생활,25m미만,18.24, ,"50,000",1,201905,24, ,1987
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,교육연구,25m미만,50.4, ,"57,500",3,201906,3, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,교육연구,25m미만,50.4, ,"57,500",3,201906,3, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,8m미만,11.36, ,"29,000",null,201906,7, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제1종근린생활,25m이상,29.3, ,"25,000",null,201906,13, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제1종근린생활,25m미만,26.45, ,"28,000",null,201906,17, ,1983
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,판매,25m이상,22.72, ,"28,000",null,201906,18, ,1984
서울특별시 강남구 개포동,집합,6**,-,제2종일반주거,제1종근린생활,25m이상,17.52, ,"168,500",1,201907,4, ,1982
서울특별시 강남구 개포동,집합,1*,개포로,제3종일반주거,제2종근린생활,25m이상,12.33, ,"15,000",1,201907,10, ,1995
서울특별시 강남구 개포동,일반,1***,개포로22길,제2종일반주거,제1종근린생활,25m미만,895.32,327.2,"490,000",null,201907,11, ,1992
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,15.52, ,"3,000",null,201907,24, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,제3종일반주거,기타,25m이상,79.2, ,"75,000",null,201907,27, ,1995
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,제2종근린생활,25m이상,58.73, ,"70,000",null,201908,1, ,1984
서울특별시 강남구 개포동,일반,1***,논현로,제3종일반주거,제2종근린생활,25m이상,1119.43,347,"650,000",null,201908,9, ,2006
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제1종근린생활,25m이상,16.56, ,"47,000",null,201908,14, ,1983
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,22.82, ,"13,910",null,201908,20, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,23.08, ,"14,079",null,201908,20, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,17.81, ,"10,855",null,201908,23, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,18.29, ,"13,364",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,17, ,"10,366",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,17.49, ,"12,779",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,18.29, ,"13,364",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,18.44, ,"11,245",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,21.9, ,"13,354",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,18.29, ,"13,364",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,22.48, ,"13,708",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,17.15, ,"10,456",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,18.29, ,"13,364",null,201908,26, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,104.85, ,"74,000",3,201908,27, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,21.13, ,"12,883",null,201908,29, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,21.06, ,"17,600",5,201908,29, ,1984
서울특별시 강남구 개포동,집합,1**,개포로88길,제3종일반주거,제1종근린생활,25m이상,18.29, ,"26,000",null,201909,2, ,null
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.44, ,"23,000",18,201909,9, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,40.58, ,"105,000",1,201909,10, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,14.28, ,"8,710",null,201909,17, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,15.53, ,"9,464",null,201909,20, ,1984
서울특별시 강남구 개포동,집합,6**,-,제2종일반주거,제2종근린생활,25m이상,11.94, ,"65,000",null,201909,20, ,1982
서울특별시 강남구 개포동,집합,1*,개포로109길,일반상업,제2종근린생활,25m미만,15.6, ,"10,500",null,201909,21, ,1998
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,20.32, ,"14,846",null,201909,26, ,1984
서울특별시 강남구 개포동,집합,1***,선릉로,근린상업,제2종근린생활,-,39.32, ,"99,000",null,201909,27, ,2019
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,17.68, ,"10,777",null,201909,29, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,16.47, ,"10,049",null,201909,30, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,판매,25m미만,21.9, ,"13,335",null,201909,30, ,1984
