시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,계약년월,계약일,지분구분,건축년도
서울특별시 강남구 개포동,일반,1***,개포로26길,제2종일반주거,제2종근린생활,8m미만,716.81,257.1,"264,400",null,201612,30, ,1990
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,11.24, ,"8,500",null,201701,2, ,1997
서울특별시 강남구 개포동,일반,1**,선릉로10길,준주거,제1종근린생활,8m미만,370.13,160.8,"157,500",null,201701,6, ,1988
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,62.07, ,"127,000",null,201701,8, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,55.49, ,"105,000",null,201701,10, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,14.14, ,"8,200",null,201701,11, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로,제2종일반주거,제1종근린생활,25m이상,19.44, ,"110,000",1,201701,16, ,1982
서울특별시 강남구 개포동,일반,1**,선릉로12길,제3종일반주거,제2종근린생활,8m미만,480.84,188.6,"209,961",null,201701,20, ,null
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,47.72, ,"59,000",null,201701,21, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제1종근린생활,25m이상,38.36, ,"82,000",1,201701,21, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,제1종근린생활,25m이상,62.18, ,"50,000",null,201701,23, ,1986
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,34.53, ,"70,500",1,201702,14, ,1984
서울특별시 강남구 개포동,일반,1***,논현로,준주거,제2종근린생활,25m이상,1081.37,345.4,"515,000",null,201702,16, ,1994
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,45.3, ,"117,000",1,201702,23, ,1984
서울특별시 강남구 개포동,집합,1***,논현로2길,제2종일반주거,제2종근린생활,8m미만,39.59, ,"30,000",null,201703,6, ,2015
서울특별시 강남구 개포동,집합,1**,개포로,제2종일반주거,제2종근린생활,25m미만,8.84, ,"1,500",null,201703,14, ,1987
서울특별시 강남구 개포동,일반,1***,논현로,제3종일반주거,제2종근린생활,25m이상,883.45,329.8,"427,500",null,201703,20, ,1989
서울특별시 강남구 개포동,일반,1***,개포로24길,제2종일반주거,제1종근린생활,12m미만,632.62,257.3,"261,477",null,201703,31, ,1989
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,제1종근린생활,25m이상,49.89, ,"118,000",null,201704,5, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,31.91, ,"17,300",13,201704,13, ,1997
서울특별시 강남구 개포동,일반,1***,개포로15길,제2종일반주거,제1종근린생활,8m미만,641.03,254.9,"242,000",null,201704,21, ,1990
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제2종근린생활,25m이상,19.11, ,"2,500",null,201704,26, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제2종근린생활,25m이상,22.74, ,"3,000",null,201704,26, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,40.48, ,"95,200",null,201705,30, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.44, ,"19,500",12,201705,30, ,1997
서울특별시 강남구 개포동,집합,1*,개포로109길,제3종일반주거,제1종근린생활,25m미만,29.2, ,"27,000",1,201705,31, ,2004
서울특별시 강남구 개포동,집합,1*,개포로109길,제3종일반주거,제2종근린생활,25m미만,33.6, ,"28,000",1,201705,31, ,2004
서울특별시 강남구 개포동,집합,1*,개포로109길,제3종일반주거,제2종근린생활,25m미만,33.6, ,"28,000",1,201705,31, ,2004
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,10.88, ,"10,500",2,201705,31, ,1997
서울특별시 강남구 개포동,집합,1*,개포로109길,제3종일반주거,제1종근린생활,25m미만,29.2, ,"27,000",1,201705,31, ,2004
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,업무,25m미만,104.85, ,"43,000",6,201706,5, ,1984
서울특별시 강남구 개포동,일반,1***,논현로8길,제2종일반주거,제2종근린생활,12m미만,899.81,280.5,"305,000",null,201706,9, ,1991
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제1종근린생활,25m이상,54.58, ,"85,900",2,201706,10, ,1984
서울특별시 강남구 개포동,집합,1**,개포로88길,일반상업,제2종근린생활,25m미만,87.96, ,"35,000",null,201706,16, ,1983
서울특별시 강남구 개포동,일반,1***,개포로30길,제2종일반주거,제1종근린생활,8m미만,564.5,203.4,"198,500",null,201706,22, ,1991
서울특별시 강남구 개포동,집합,1**,선릉로,제2종일반주거,제1종근린생활,25m이상,46.72, ,"169,000",2,201706,29, ,1982
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제1종근린생활,25m이상,137.21, ,"130,032",null,201706,29, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제1종근린생활,25m이상,634.58, ,"650,160",null,201706,29, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제2종근린생활,25m미만,73.2, ,"39,000",5,201707,6, ,2007
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,제2종근린생활,25m미만,73.2, ,"39,000",5,201707,6, ,2007
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,100.8, ,"85,000",2,201707,14, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제1종근린생활,25m이상,45.3, ,"116,500",null,201707,17, ,1984
서울특별시 강남구 개포동,집합,1**,선릉로,제2종일반주거,제1종근린생활,25m이상,4.54, ,"24,000",1,201707,28, ,1982
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,135.64, ,"40,000",null,201707,29, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,업무,25m이상,90.9, ,"30,000",null,201707,30, ,1995
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,45.49, ,"71,620",null,201707,30, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제3종일반주거,업무,25m이상,87.93, ,"47,000",null,201707,30, ,1995
서울특별시 강남구 개포동,집합,1**,삼성로,제2종일반주거,제1종근린생활,25m이상,16.74, ,"80,000",null,201707,31, ,1982
서울특별시 강남구 개포동,일반,1***,논현로,준주거,제2종근린생활,25m이상,381.42,367.3,"550,000",null,201708,23, ,1993
서울특별시 강남구 개포동,일반,1**,선릉로10길,준주거,제2종근린생활,8m미만,535.2,207.8,"390,000",null,201708,29, ,1987
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,17.64, ,"39,500",1,201709,4, ,1997
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,82.7, ,"60,000",null,201709,14, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,제1종근린생활,25m이상,9, ,"15,000",1,201709,27, ,1983
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,34.3, ,"75,000",1,201709,29, ,1984
서울특별시 강남구 개포동,일반,1***,개포로24길,제2종일반주거,제2종근린생활,12m미만,733.86,265.3,"240,000",null,201709,29, ,1990
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제2종근린생활,12m미만,34.3, ,"75,000",null,201709,29, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,16.67, ,"10,000",null,201709,29, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,제1종근린생활,25m이상,27.3, ,"13,000",null,201710,11, ,1997
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,56.16, ,"51,800",null,201710,14, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.44, ,"19,100",11,201710,16, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,업무,25m이상,32.44, ,"18,500",13,201710,18, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로4길,제3종일반주거,제2종근린생활,25m이상,33.26, ,"45,000",null,201710,21, ,1983
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,8m미만,40.7, ,"103,000",1,201710,22, ,1984
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,26.57, ,"68,000",1,201710,25, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,14.29, ,"34,000",null,201710,31, ,1984
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,12.87, ,"8,000",null,201711,4, ,1997
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,13.04, ,"8,000",null,201711,4, ,1997
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,9.69, ,"1,265",null,201711,15, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,9.69, ,"1,265",null,201711,15, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,27.75, ,"65,000",1,201711,21, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,97.9, ,"63,000",null,201711,22, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,126.91, ,"97,600",null,201711,22, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제2종근린생활,25m미만,160.9, ,"77,500",5,201711,23, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,10.02, ,"1,250",null,201711,23, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제2종근린생활,25m이상,16.23, ,"2,700",null,201711,23, ,1984
서울특별시 강남구 개포동,일반,1***,논현로12길,제2종일반주거,제2종근린생활,12m미만,671.47,248,"300,000",null,201711,27, ,2004
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,45.6, ,"1,400",null,201711,28, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,교육연구,25m미만,78.55, ,"50,000",null,201711,29, ,1984
서울특별시 강남구 논현동,일반,5*,도산대로30길,제3종일반주거,업무,25m미만,648.84,250.9,"530,000",null,201612,2, ,1988
서울특별시 강남구 논현동,일반,2**,봉은사로,일반상업,숙박,25m이상,2996.46,302.65,"1,675,000",null,201612,6, ,2015
서울특별시 강남구 논현동,일반,6*,논현로150길,제3종일반주거,제2종근린생활,25m미만,1604.72,346.6,"737,000",null,201612,9, ,1997
서울특별시 강남구 논현동,일반,6*,언주로147길,제3종일반주거,제2종근린생활,25m미만,282.89,8,"20,000",null,201612,13, ,1990
서울특별시 강남구 논현동,집합,2**,봉은사로33길,제2종일반주거,제2종근린생활,8m미만,18.59, ,"8,750",null,201612,14, ,1978
서울특별시 강남구 논현동,일반,6*,도산대로30길,제2종일반주거,제2종근린생활,8m미만,494.09,198.4,"380,000",null,201612,15, ,2016
서울특별시 강남구 논현동,일반,5*,학동로5길,제3종일반주거,제2종근린생활,8m미만,1676.27,439.1,"825,000",null,201612,20, ,1992
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,판매,25m이상,56.51, ,"77,290",null,201612,23, ,2007
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,판매,25m이상,46.92, ,"64,177",null,201612,23, ,2007
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,판매,25m이상,56.03, ,"76,636",null,201612,23, ,2007
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,판매,25m이상,56.03, ,"76,636",null,201612,23, ,2007
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,판매,25m이상,46.63, ,"63,774",null,201612,23, ,2007
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,판매,25m이상,33.99, ,"46,487",null,201612,23, ,2007
서울특별시 강남구 논현동,집합,2**,언주로,제3종일반주거,제2종근린생활,25m이상,51.23, ,"130,000",null,201612,27, ,2014
서울특별시 강남구 논현동,집합,2*,강남대로146길,제3종일반주거,제2종근린생활,12m미만,22.61, ,"30,500",null,201701,6, ,1997
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,업무,25m이상,395.65, ,"220,000",null,201701,16, ,1991
서울특별시 강남구 논현동,집합,1**,학동로20길,제2종일반주거,제1종근린생활,12m미만,11.2, ,"8,149",2,201701,19, ,2002
서울특별시 강남구 논현동,집합,1**,학동로20길,제2종일반주거,제1종근린생활,12m미만,9.84, ,"6,841",null,201701,19, ,2002
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,숙박,25m이상,30.03, ,"22,700",13,201701,23, ,2003
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,제2종근린생활,25m이상,47.93, ,"53,000",2,201701,24, ,2007
서울특별시 강남구 논현동,일반,1**,학동로2길,제3종일반주거,제1종근린생활,12m미만,37.03,22.1,"65,200",null,201701,31, ,1981
서울특별시 강남구 논현동,집합,1**,강남대로124길,제2종일반주거,제1종근린생활,8m미만,40.16, ,"23,900",4,201702,1, ,1992
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,제1종근린생활,25m이상,76.17, ,"50,000",null,201702,3, ,2007
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,숙박,25m이상,30.03, ,"23,000",14,201702,6, ,2003
서울특별시 강남구 논현동,일반,1**,학동로8길,제3종일반주거,제1종근린생활,8m미만,296.18,103.8,"122,500",null,201702,9, ,2001
서울특별시 강남구 논현동,일반,1**,학동로53길,일반상업,제2종근린생활,8m미만,1408.25,404.8,"710,000",null,201702,11, ,1980
서울특별시 강남구 논현동,일반,1**,강남대로128길,제3종일반주거,제2종근린생활,8m미만,456.94,180.4,"375,000",null,201702,23, ,2011
서울특별시 강남구 논현동,집합,2**,봉은사로29길,제3종일반주거,제2종근린생활,8m미만,151.73, ,"95,004",null,201702,24, ,2013
서울특별시 강남구 논현동,일반,1**,봉은사로25길,제1종일반주거,제2종근린생활,8m미만,213.3,182.7,"172,500",null,201703,2, ,1983
서울특별시 강남구 논현동,일반,7*,학동로33길,제1종일반주거,제2종근린생활,8m미만,195.61,294.7,"325,000",null,201703,2, ,1976
서울특별시 강남구 논현동,집합,2**,학동로,제3종일반주거,제1종근린생활,25m이상,45.56, ,"32,500",3,201703,6, ,2005
서울특별시 강남구 논현동,집합,1**,학동로43길,제2종일반주거,판매,8m미만,23.79, ,"12,548",1,201703,6, ,2009
서울특별시 강남구 논현동,일반,2**,논현로,제3종일반주거,업무,25m이상,5019.54,1287.5,"2,630,000",null,201703,7, ,1995
서울특별시 강남구 논현동,일반,3*,논현로139길,제1종일반주거,제2종근린생활,8m미만,1376.49,644.7,"775,000",null,201703,14, ,2006
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,숙박,25m이상,30.03, ,"21,500",5,201703,21, ,2003
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,숙박,25m이상,30.03, ,"20,500",2,201703,25, ,2003
서울특별시 강남구 논현동,집합,3*,도산대로26길,제3종일반주거,제2종근린생활,8m미만,23.46, ,"15,900",null,201703,27, ,2002
서울특별시 강남구 논현동,집합,3*,도산대로26길,제3종일반주거,제1종근린생활,8m미만,27.51, ,"18,577",null,201703,27, ,2002
서울특별시 강남구 논현동,집합,1**,언주로146길,제3종일반주거,제1종근린생활,25m미만,28.35, ,"20,600",null,201703,29, ,1986
서울특별시 강남구 논현동,일반,2**,선릉로,제3종일반주거,제1종근린생활,25m이상,822.73,548.7,"1,325,000",null,201703,31, ,1975
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,숙박,25m이상,30.03, ,"21,200",6,201704,9, ,2003
서울특별시 강남구 논현동,일반,2**,언주로130길,제1종일반주거,제1종근린생활,25m미만,1620.32,614.7,"1,048,820",null,201704,10, ,2000
서울특별시 강남구 논현동,집합,1**,학동로43길,제2종일반주거,판매,8m미만,14.93, ,"19,800",1,201704,11, ,2009
서울특별시 강남구 논현동,일반,2**,봉은사로49길,제2종일반주거,제2종근린생활,12m미만,2523.81,698.4,"1,496,000",null,201704,14, ,2004
서울특별시 강남구 논현동,일반,2*,-,제1종일반주거,제2종근린생활,8m미만,1373.85,480.6,"850,000",null,201704,18, ,2017
서울특별시 강남구 논현동,집합,2*,강남대로146길,제3종일반주거,제2종근린생활,12m미만,21.32, ,"20,000",2,201704,18, ,1997
서울특별시 강남구 논현동,집합,2**,학동로,일반상업,제2종근린생활,25m이상,37.03, ,"120,000",null,201704,19, ,2007
서울특별시 강남구 논현동,집합,2**,봉은사로,일반상업,숙박,25m이상,379.36, ,"255,000",1,201704,19, ,2003
서울특별시 강남구 논현동,일반,1**,학동로,제2종일반주거,제2종근린생활,25m이상,732.19,342,"825,000",null,201704,20, ,1975
서울특별시 강남구 논현동,집합,1**,학동로26길,제2종일반주거,제2종근린생활,8m미만,128.44, ,"35,000",null,201704,21, ,2001
서울특별시 강남구 논현동,집합,1**,학동로26길,제2종일반주거,제2종근린생활,8m미만,128.44, ,"35,000",null,201704,21, ,2001
서울특별시 강남구 논현동,일반,1**,강남대로,일반상업,업무,25m이상,4469.61,1171.2,"4,237,000",null,201704,24, ,1995
서울특별시 강남구 논현동,일반,1**,강남대로,일반상업,제1종근린생활,25m이상,6618.18,541.3,"4,893,919",null,201704,27, ,2010
서울특별시 강남구 논현동,일반,8*,학동로29길,준주거,제2종근린생활,8m미만,715.4,388.9,"711,340",null,201704,27, ,1986
서울특별시 강남구 논현동,일반,1**,학동로,제3종일반주거,업무,25m이상,1483.44,660.1,"1,560,000",null,201705,4, ,1983
서울특별시 강남구 논현동,일반,1**,학동로47길,제2종일반주거,제2종근린생활,8m미만,593.83,230.8,"400,000",null,201705,4, ,2015
서울특별시 강남구 논현동,일반,1**,학동로,제3종일반주거,제1종근린생활,8m미만,521.94,321.3,"377,000",null,201705,9, ,1993
